AREA,CENTRAL_AMERICA_MEXICAN,CENTRAL_AMERICA_OTHER,SOUTH_AMERICA,OTHER,TOTAL
0,0,0,0,0,0
1,59777,21486,9728,4322,95313
2,91253,45810,9228,4108,150399
3,44094,25123,5749,2768,77734
4,126848,31075,3099,4935,165957
5,3251,1765,1353,817,7186
6,10199,2554,687,787,14227
7,193083,11968,1832,4345,211228
8,15981,2020,268,496,18765
9,33614,3233,185,1021,38053
