AREA,LATINO,WHITE,BLACK,ASIAN,TOTAL
0,0,0,0,0,0
1,95313,242305,46990,56400,453704
2,150399,104988,6748,10503,276594
3,77734,193958,12046,13496,303208
4,165957,85124,210889,12496,480687
5,7186,86673,18108,16105,131157
6,14227,32785,177740,28030,257920
7,211228,56933,111610,6916,389547
8,18765,41177,115294,651,177988
9,38053,10774,172861,306,224793
